	STAGE	CLUSTER	MATCH N-1	ASSIGNED CELL TYPE/STATE	ENRICHED MARKERS
666	8 dpf	37	5d-4	epithelium (cornea)	ifitm1, pmp22a, krt8, rbp4, col1a2, krt18, mfap2, col1a1a, tat
667	8 dpf	38	5d-34	hypothalamus	tac1, cbln1, pdyn, kctd4, tac3b, palmdb, ngb, sox1b, nr0b1, doc2b, sox14, fezf1
668	8 dpf	39	5d-33	cranial ganglion (vagal)	prph, tac1, slc18a3a, slc5a7a, phox2a, phox2bb, neflb, calca, nefmb, lhx4, isl2a, nkx6.1, slit3, anxa13l, nefma
669	8 dpf	40	5d-18	diencephalon/mid	atf5b, cebpa, ddit3, hunk, cebpb, stmn1b, gadd45ga, lhx9, crabp1a, pou4f2, trib3, smarcd3a
670	8 dpf	42	NA	eye (epidermis)	lgals1l1, krt5, krtt1c19e, krt91, cldni, pfn1, cfl1l, krt4, col1a2, cyt1
671	8 dpf	43	NA	neurons	tubb5, tmsb, tuba1a
672	8 dpf	44	5d-74	glial progenitors	hepacama, msx3, s100b, sept8b, prss35, s1pr5a, zic6, zic4, clybl, zic5, fabp7a
673	8 dpf	45	5d-45	retina (muller glia)	rlbp1a, glulb, glula, apoeb, mt2, cyp26a1, rhbbg, cahz, fabp7a, cyp2ad3, foxg1b
674	8 dpf	46	NA	dorsal telencephalon/dorsal diencephalon	tbr1b, grm2a, emx3, tac3b, eomesa, necab1, syt9b, lhx5, barhl2, cpne2, lhx1a
675	8 dpf	47	5d-56	purkinje neurons (gabaergic ++)	aldoca, pvalb7, pbxip1b, pcp4l1, ca8, casq2, slc1a3b, itpr1b, ppp1r1b, grm1a, dgkh, plxdc1, gad1b, gad2
676	8 dpf	48	NA	retina neuroblasts (amacrine/horizontal)	vsx1, neurod4, crx, ndrg1b, olig2, hes2.2, olig2, foxg1b, foxn4, six3b, ascl1a, six6b, otx2
677	8 dpf	49	5d-42	lens	crybb1, cryba4, crygmx, cryba1l1, crygn2, cryba1b, lim2.4
678	8 dpf	50	5d-22	diencephalon	nrgnb, prkcda, tpbgl, roraa, dazap1, rhocb, scn4ba, plxdc1, pvalb7, dgkh
679	8 dpf	51	5d-69	neurons (ganglion)	tuba8l3, six1b, isl2b, eya4, tlx2, six2a, six2b, eya2, isl2a, eya1, sst6, neurod1, znf395, prph
680	8 dpf	52	5d-19	eye (cornea), cartilage	matn4, col2a1a, col9a3, col9a1a, lect1, col9a2, cthrc1a, matn1, tgfbi
681	8 dpf	53	NA	diencephalon (glutamatergic)	pitx2, bhlhe22, neurod6a, foxa1, prdm8b, bhlhe23, rtn4rl2b, neurod6b, slc17a6a
682	8 dpf	54	5d-55	neurons (telencephalon)	ppp1r1c, prkcbb, cntln, camk2a, grm5a, pvalb7, add3b, nrgna, iqsec2, ngef, egr3, shox2
683	8 dpf	55	5d-35	hypothalamus	prdx1, th2, scgn, bsx, aoc1, ddc, nkx2.4a, chgb, insm1b, ak5l, gch1, txn
684	8 dpf	56	NA	neurons (gabaergic)	gad1b, gad2, slc32a1, slc6a1b, elavl4
685	8 dpf	57	5d-58	microglia	ccl34b.1, apoc1, apoeb, lgals3bpb, havcr1, fcer1gl, ctsl.1, arpc1b, ctsc, mfap4, spi1a, coro1a
686	8 dpf	58	5d-81	eye (non retina)	icn2, krt97, cyt1, s100a10b, cfl1l, cldnb, epcam, anxa1a, krt17, s100w, mid1ip1a, krt96, ccl27a, pycard, anxa1c
687	8 dpf	59	5d-50	epithelium (cornea, progenitors)	ccl25b, rgs5a, serpinh1b, cxcl12a, cyp2ad3, ndufa4l2a, pmp22a, ccl38.1, foxl1, pcolcea
688	8 dpf	60	NA	optic tectum (gabaergic)	prkcda, nrgnb, ccdc136a, pax7b, tal1, penkb, npb, add3b, chn1, rergla, pcp4a, gad1b, sox14, pax7a, hivep1
689	8 dpf	61	5d-66	eye (endothelial/pericytes)	aqp3a, myl9a, slc43a3b, cyr61, pmp22a, ctgfa, acta2, fmoda, wfdc2, ntd5, hyal4, ednraa
690	8 dpf	62	5d-62	hypothalamus	tph2, ddc, gch1, fev, txn, gata3, gata2a, lmx1bb, htr1d, crhbp, prdx1, elavl4, sncb
691	8 dpf	63	5d-52	ventral forebrain (dienc, hyp, poa; gabaergic)	gsx1, oprd1b, prox1b, prkcbb, nkx2.4a, ntn1b, tac1, nrgna, ppp1r1c, grm5a, penka, penkb, rgs5b, gad2
692	8 dpf	64	5d-67	rostral blood island (myeloid)	krt18, cxcl12b, rgcc, srgn, igfbp1a, krt8, clic2, podxl, jam2a, slco1d1, cldn5b, acvrl1, krt94, yrk
693	8 dpf	65	5d-54	ventral habenula	kiss1, csrp2, ppp1r14ab, prkcq, aoc1, apoa2, ppp1r14ab, wnt11r, nts, rergla, prox1a, ak5
694	8 dpf	66	5d-41	erythrocytes	 hbbe1.2, cahz, hbz, creg1, slc4a1a, alas2, nt5c2l1, gpx1a, clic2
695	8 dpf	67	5d-84	glia (eye)	wu:fj16a03, fxyd1, bhmt, igfbp2a, cx43, lect1, gstt1a, lpl, flvcr2b, thbs2a
696	8 dpf	68	5d-79	retina (RPE)	rpe65a, tyrp1b, rlbp1b, dct, pmelb, rgra, rdh5, pmela, mb, irbp, gch2, fgfbp1b.1
697	8 dpf	69	5d-46	possibly otic/lateral line	agr2, cldnh, epcam, cldnb, f11r.1, tspan35, cldn7b, ehf, blk, spint2, pou2f3, tprg1, grp, plcg2, rgs13, oclna
698	8 dpf	70	5d-50	eye (endothelial, progenitors)	ndufa4l2a, aoc2, angptl3, rasl12, ackr4b, serpine1, tmem100b, fam212aa, pcdh18a, col4a1, 
699	8 dpf	71	5d-85	glia (mature)	ggctb, wu:fj16a03, soul5, igfbp2a, CRI, apof, ramp2, fastl1a, nmrk2, slc13a4
700	8 dpf	72	5d-59	neurons (midbrain?, glutamatergic)	shox, nkx6.1, lhx4, shox2, meis2b, mab21l2, chgb, snap25a, adcyap1b, cdh8, slc17a6b
701	8 dpf	73	5d-77	cranial ganglion	dazap1, rprma, plxdc1, smpx, clic5b, lmo7a, syt9b, ppp1r1b, itpr1b, prkcda, nrgnb, ikxf1, roraa
702	8 dpf	74	5d-64	retina neurons (horizontal?)	ompa, slc4a5, opn9, slc6a1l, rprmb, pkar2ab, pcdh8, kcnj14, rem1, opn4.1, ptn
703	8 dpf	75	5d-61	hypothalamus	nts, bsx, nkx2.4a, htr1ab, cbln1, isl1, ccka, qdpra, scg2b, qpct, pou2f2a.1
704	8 dpf	76	5d-68	oligodendrocytes	scn4ab, sox10, nr2f5, ugt8, tuba8l3, zwi, krt8, pmp22a, sparc, phlda2, sdc4, crip1
705	8 dpf	77	5d-78	hypothalamus	synpr, pyyb, sp8a, sst3, chodl, dlx5a, htra1b, tac1, dlx2b, rprml, pcp4l1, nmu, syt6a, syt10, cart2, dlx2a
706	8 dpf	78	5d-72	retina (rods)	sagb, gngt1, gnat1, pde6g, saga, rom1b, pdca, elovl4b, cnga1, rom1a, guca1b, rbp2a, prph2b, pde6a
707	8 dpf	79	5d-70	neutrophils	arpc1b, srgn, ccr9a, coro1a, rac2, CD53, lcp1, wasb, ptpn6, grap2b, myh11a, plek, wasa
708	8 dpf	80	5d-73	pigment cell (iridophore)	defbl1, lypc, apoda.1, pnp4a, gpnmb, akap12a, urah, rhag, ponzr1
709	8 dpf	81	5d-83	oligodendrocytes	cd59, mbpa, mpz, cldnk, zwi, cldn19, flj13639, timd4, cx27.5, fabp2, csrp1b, ugt8, sox10, tlcd1, elovl7a, plp1b
710	8 dpf	82	5d-87	dorsal dienchephalon (thalamus)	havcr2, foxb1b, mstnb, mfge8b, ncs1b, ngfrb, tfap2b.1, pou4f2, cyth3a, cdh4, slc8a1a, neurod1, zbtb18, ano2, ano1
711	8 dpf	83	NA	glia progenitors	fabp7b, pla1a, slc13a1, ldlrad2, enkur, oarx, daw1, tbata, pacrg, CNDP1, hepacama, spag6, ezra
712	8 dpf	84	NA	retina (starburst amacrine, gabaergic)	chgb, slc18a3a, tmem196b, lrtm1, cacna1fb, arhgap23b, bhlhe23, sgk494a, kcnq5b, glbra, pax10, pax6a, gad2, gad1b
713	8 dpf	85	5d-82	neurons (gabaergic)	pax7a, otpa, pax7b, gad1b, sst1.1, cxcl14, sst3, gad2, lhx1a, chodl, sst1.2, mfge8b, elavl3
714	8 dpf	86	NA	neurons (glutamatergic)	hmx2, ppp1r1c, lhx1b, gbx2, hoxc3a, adcy2b, pou4f1, calb1, tacr2, tac1, hoxc5a, slc17a6b
715	8 dpf	87	5d-37	hypothalamus	fezf1, trh, sall3a, otpa, uncx, cbln1, npsn, onecut1, otpb, kctd12.2, ccl44, fezf2, smpd3, pdyn
716	8 dpf	88	5d-93	OPC	aplnrb, olig1, aplnra, bcan, olig2, sox10, sema5a, col9a3
717	8 dpf	89	NA	lens epithelium	sparcl1, slc7a11, col4a4, foxe3, col4a3, col28a1a, prox2, cx44.1, poln, cyp26a1, kynu, col4a6
718	15 dpf	0	8d-0	optic tectum (gabaergic) neurons	tal1, pax7a, pax7b, emx2, sox14, gata3, zfpm2b, scrt1a, uncx, lhx1a
719	15 dpf	2	8d-3	ventral forebrain (dienc, hyp, poa; gabaergic) neurons	gad2, dlx5a, scg2b, kctd4, slc32a1, gad1b, dlx2a, fxyd6, dlx6a, adcyap1r1a, vgf
720	15 dpf	3	8d-9	neurons (glutamatergic)	adcyap1b, cbln2b, scg2b, snap25a, tcf7l2, slc17a6b, 
721	15 dpf	4	8d-15	granule cells (neurons)	zic5, neurod1, zic2a, oprd1b, bcam, zbtb18, zic1, neurod2, zic4, tubb5, eng1b, pax6b, nebl, draxin
722	15 dpf	5	8d-23	radial glia	cx43, atp1b4, atp1a1b, mfge8a, fabp7a, glula, ptn, ptgdsb.2, s100b, s1pr1, slc1a3b, cd63, aqp1a.1
723	15 dpf	6	8d-13	progenitors/neurons (differentiating)	her15.2, her15.1, her4.2, her4.1, her2, dla, hes6, insm1b, cdkn1ca, dlb, ebf2, hmgb2b, elavl3, scrt1b, insm1a
724	15 dpf	7	8d-10	progenitors	her12, her15.1, stmn1a, pcna, her2, hells, cdca7a, ccnd1, her6, lig1, fabp7a
725	15 dpf	8	8d-53	diencephalon neurons	pitx2, neurod6b, neurod6a, bhlhe22, neurod2, sncb, calb2a, prdm8b, elavl4
726	15 dpf	9	8d-11	telencephalon (pallium, glutamatergic)	nrgna, rtn4rl2a, rtn4rl2b, adcyap1b, chga, rprml, c1ql3b.1, olfm1b, kctd4, nrxn1a, adcyap1r1a, egr3, ak5, glipr1b, slc17a6a
727	15 dpf	10	8d-8	dorsal dienchephalon (thalamus) neurons	tcf7l2, tubb5, tfap2d, lhx9, gpm6a1b, barhl1a, barhl2, islr2, mcama, pou4f2, pou3f1, mab21l2, lhx2b
728	15 dpf	11	8d-43	neurons	tubb5, tmsb
729	15 dpf	12	NA	URL progenitors	rrm2.1, hmgb2a, slc29a2, pcna, stmn1a, rrm2, ccnd2a, kiaa0101, hmga1a, mibp, atoh1c, oprd1b, eng1b, 
730	15 dpf	13	8d-60	optic tectum (gabaergic)	nrgnb, kcnip1b, tal1, penkb, slc32a1, ccdc136a, npb, gad2, plxdc1, camk2a, prkcda
731	15 dpf	14		progenitors	her4.2, her2, her15.1, pcna, stmn1a, hmgb2a, mibp, dla, slc29a2, ccnd1, ascl1a, lig1, lbr, cks1b, chaf1a
732	15 dpf	15	8d-32	retina (cone bipolar cells)	rs1a, cabp5b, cabp2a, syt5b, six3b, nrn1lb, eml1, vsx1, syt5a, cplx4a, rx3, pvalb9, foxg1b
733	15 dpf	16	NA	progenitors (ventral)	her4.1, her15.1, her6, fabp7a, id1.1, cd82a, her12, sox3, sox19a, zfp36l2, atp1b4, s1pr1, shha, nkx2.4,a hells
734	15 dpf	17	8d-15	granule cells (neurons)	zic2a, zic5, gsg1l, nebl, neurod1, dlg1, olfm2b, eomesa, fat2, cspg5b, zic1, elavl4, eng1b, shisa9a
735	15 dpf	18	8d-2	diencephalon (gabaergic) neurons	otpa, otpb, scg2b, lhx5, fxyd6, lhx1a, elavl4, gad2, cdh8
736	15 dpf	19	8d-60	progenitors (cycling)	hmgb2a, kpna2, ube2c, nusap1, cdk1, tuba8l, crabp2a, plk1, stmn1a, aspm, ccna2, cdc20, ccnb1
737	15 dpf	20	8d-14	dorsal dienchephalon (thalamus) neurons	foxb1a, tfap2b.1, tfap2e, tfap2a, barhl2, tfap2d, pou4f2, lhx9, bcl11ba
738	15 dpf	21	8d-66	erythrocytes	hbbe1.1, hbae3, hbbe1.2, gpx1a, cahz, creg1, nt5c2l1, bblvrb, slc4a1a, hbz, hbbe2
739	15 dpf	22		progenitors	stmn1a, pcna, rrm2.1, hmgb2a, hmgb2b, fabp7a, hmga1a, rpl22l1, rpl5a, rpa2, npm1a
740	15 dpf	23	NA	neurons	tubb5, cd99l2, sox4a.1, elavl3, elavl4
741	15 dpf	24	8d-57	microglia	ccl34b.1, apoc1, lgals3bpb, apoeb, g0s2, fcer1gl, cd74a, havcr1, cd74b
742	15 dpf	25	NA	telencephalon neurons (pallium, differentiating)	tbr1b, eomesa, emx3, islr2, neurod6b, cpne2, elavl3, elavl4
743	15 dpf	26	8d-14	midbrain neurons (glutamatergic)	nefma, nefla, nefmb, tubb2, nelb, scn4ba, cntn1b, cntnap2a, atp1a3b, emp1, slc17a6b
744	15 dpf	27	8d-24	cranial nerve neurons	hoxb5b, hoxb5a, hoxa3a, phox2bb, hoxb6a, hoxc5a, hoxb3a
745	15 dpf	28	8d-33	retina (cones)	gngt2b, pde6h, gngt2a, opn1mw1, arr3a, gnb3b, opn1sw1, rbp4l, ts1, gnat2, arr3b, ckmt2a, opn1lw2
746	15 dpf	29	8d-30/NA	retina progenitors	pax6b, pax10, pax6a, crybb1, cryba4, tfap2a, crygn2, tkta, crygmx, foxg1b, bhlhe22, six6b, hmga1a
747	15 dpf	30	8d-28	retina (amacrine, gabaergic) neurons	pax6b, pax10, pax6a, tfap2a, tkta, foxg1b, meis2b, bhlhe22, six6b, tfap2e, hmx4, znf395, opn1sw1, slc32a1
748	15 dpf	31	NA	hindbrain neurons	pax2a, eng1b, eng2a, elavl4, eng2b, tubb5, elavl3, bcl11ba, neurod6b
749	15 dpf	32	8d-32	retina (cone bipolar cells)	vsx1, ndrg1b, gnb3a, crx, syt5b, samsn1a, neurod4, rs1a, eml1, stx3a, prox1a, foxg1b, prkca
750	15 dpf	33	8d-45	retina (muller glia)	rlbp1a, mt2, cahz, glula, glulb, ptgdsb.2, apoeb, cyp26a1, gstp1, ppp1r14aa, sdpra, foxg1b
751	15 dpf	34	8d-17	cornea	scinla, gyg1b, aqp3a, anxa1a, rbp4, fxyd1, krt8, fmoda, tubb6, anxa2a, ctgfa, hgd, alpl
752	15 dpf	35	8d-32	retina (cone bipolar cells)	rs1a, cabp5b, nme2a, nrn1lb, cabp2a, pvalb9, lrit1a, gnb3a, prkca, pvalb8
753	15 dpf	36	8d-40	midbrain neurons	atf5b, cebpa, ddit3, mafgb, hunk, pcdh18a, cebpb, crabp1a, gadd45ga, lhx9, gas7a, bada
754	15 dpf	37	8d-49	lens	crybb1, crygmx, cryba4, cryba1l1, crygn2, grifin, lim2.4, crybb2, crygn1, lim2.1
755	15 dpf	38	8d-25	retina (RGC) neurons	rbpms2a, rbpms2b, calb2a, calb2b, oaz2b, isl2b, grin1a, kcnip3b, kcnip3a, inab, pou4f1, tkta, hmx4
756	15 dpf	39	8d-48	retina progenitors	hes2.2, rrm2.1, her12, ccnd1, atoh7, crabp2a, nusap1, crabp1a, nutf2l, ascl1a, mki67, foxg1b, chaf1a, foxn4, rx1
757	15 dpf	40	NA	diencephalon neurons	cntln, bnc2, onecut1, shox2, shox, islr2, ebf3a, cd99l2, mcama, robo1, tcf7l2, tubb5, zfhx3, alcamb, tfap2a
758	15 dpf	41	8d-65	ventral habenula	kiss1, ppp1r14ab, rgs8, rergla, lmo3, ak5, phactr3b, prkcq, necab1, aoc1, csrp2, wnt11r, onecut1, pnoca, apoa2
759	15 dpf	42	8d-81	oligodendrocytes	mbpa, flj13639, stxbp6l, zwi, mbpb
760	15 dpf	43	8d-35	retina (photoreceptor precursor cells)	gngt2a, rcvrn2, crx, nr2e3, ppdpfa, tulp1a, arl13a, tmem244, otx5, six7, aplnra, elovl4b, opn6a
761	15 dpf	44	8d-59	epithelium (cornea)	rgs5a, ccl25b, cxcl12a, serpinh1b, crip1, mfap2, cxcl18b, ecrg4a, cyp2aad3, fstl3, pcolcea, ndufa4l2a
762	15 dpf	45	8d-58	eye (non retina)	krt97, icn2, krt91, krt5, icn, cldnb, cfl1l, epcam, krt4, cyt1, s100a10b, s100w
763	15 dpf	46	NA	diencephalon (glutamatergic) neurons	calb2a, sp5l, barhl1a, pou4f2, sp5a, lhx9, snap25a, calb2b, rbfox1, olfm1b, fgf12a, rims2b, slc17a6a
764	15 dpf	47	8d-42	eye (epidermis)	lgals1l1, ptgdsb.1, krtt1c19e, krt5, krt91, cldni, pfn1, cfl1l, cfd, cxl34b.11, col1a1b, col1a2, thy1, cldn1
765	15 dpf	48	NA	progenitors/differentiating 	her15.2, her15.1, her4.2, her4.2.1, tmsb, tubb5
766	15 dpf	49	8d-37	epithelium (cornea)	ifitm1, rbp4, pmp22a, krt8, krt94, crip1, krt15, angptl7, s100a10b, krt18, mfap2, vwde, col1a2, col1a1b
767	15 dpf	50	8d-68	retina (RPE)	rpe65a, rlbp1b, rbp5, rgra, fabp11b, rdh5, stra6, tyrp1b, dct, pmelb, irbp, gch2, pmela, tm6sf2, rdh8a, mb
768	15 dpf	51	NA	torus long neurons	galn, cspg5b, tcap, fat2, lmo4b, tcap, dhrs3b, olfm1a, crlf3, qkia, pvalb7, neurod1, zic2a, zic5, zic1
769	15 dpf	52	8d-78	retina (rods)	gngt1, gnat1, sagb, pde6g, ppdpfa, rom1b, saga, cnga1, elovl4b, guca1b, rhoI, pde6b
770	15 dpf	53	8d-71	glia	ggctb, soul5, wu:fj16a03, gxyd1, rbp4, igfbp2a, clu, apof, bhmt, cp, slc13a4, ramp2, atp1b4, apoc1, col18a1
771	15 dpf	54	8d-15	retina (cone bipolar cells)	cabp5b, cabp5a, pvalb8, syt5a, pvalb9, calb1, lhx4, irx7, cplx4a, abcc8b, snx8b, gabrr3bb, irbpl
772	15 dpf	55	8d-47	purkinje neurons (gabaergic ++)	aldoca, pvalb7, pbxip1b, casq2, pcp4l1, casq2, ca8, itpr1b, slc1a3b, dazap1, roraa, foxp1b, lhx1a, ano2, skor1b
773	15 dpf	56	NA	dorsal habenula neurons	gng8, kctd12.1, adcyap1a, NWD2, synpr, NP33, cnih3, syt9b, bean1, pou4f1, syt6b, nrn1a, cadps2, ccl44, pnoca
774	15 dpf	57	8d-52	eye (cornea), cartilage	matn1, col2a1a, col1a1a, col1a2, ucmaa, sparc, col9a1a, lect1, col9a3, matn4, col9a2, mia, postnb, ctgfa, ogn, lum
775	15 dpf	58	8d-63	ventral forebrain (dienc, hyp, poa; gabaergic)	tac1, gsx1, nkx2.4a, penka, dlx2a, nrgna, kctd4, prox1b, dlx5a, hmx3a, isl1, nkx2.2a, islr2, nr2f1a, oprd1b, gad2
776	15 dpf	59	8d-67	glia	wu:fj16a03, rbp4, bhmt, fxyd1, igfbp2a, fgfbp1b.1, carhsp1, ccl25b, pdk2b, apof, aldh1a2, cygb1, lect1, cyp2ad3
777	15 dpf	61	8d-55	hypothalamus	prdx1, chgb, scgn, th2, ak5l, tph1a, ddc, txn, nkx2.4a, nme5, rab3db, insm1b, npas4b, gch1, sox1a, pou3f1
NA	15 dpf	62		retina (RGC) - COMBINE WITH cluster38	rbpms2a, rbpms2b, isl2b, inab, nrn1b, irx4a, calb2a, calb2b, tkta, hmx4, gng13b
778	15 dpf	63	8d-38	hypothalamus neurons	cbln1, pdyn, kctd4, sox1b, fezf1, nr0b1, sox1a, sox14, tac1, nell2b, gabra5, vat1, nkx2.2a, rgs5b, gpr78a
779	15 dpf	64	8d-19	dorsal habenula	tac3a, gng8, g0s2, synpr, NWD2, tgfbi, syt6b, nrn1a, kctd4, rgs8, cnih3, sst6, kctd12.1, pou4f1, NP33
780	15 dpf	65	8d-70	eye (endothelial, progenitors)	ndufa4l2a, glulb, aoc2, angptl3, rasl12, ackr4b, tmem119b, tmem100b, fam212aa, pcdh18a, col4a1, foxc1b
781	15 dpf	66	8d-61	eye (endothelial, epithelium)	aqp3a, mfap2, myl9a, acta2, ctgfa, TPM1, ucmaa, tagln, slc43a3b, wnt11r, crip1, hyal4
782	15 dpf	67	8d-50	diencephalon	nrgnb, prkcda, dazap1, roraa, rprma, syt9b, plxdc1, lmo7a, smpx, grm1b, itpr1b, rhocb, dgkh, pvalb7, atp2a3
783	15 dpf	68	8d-81	oligodendrocytes	zwi, pmp22b, cldnk, fstl3, cldn19, phlda2, nr4a2, scn4ab, egr2b, gldn, qki2, astml, myo1cb, grasp, mbpa, mbpb
784	15 dpf	69	8d-74	retina (horizontal cells)	ompa, rprmb, slc4a5, btbd17b, slc6a1l, opn9, vtnb, prkar2ab, cx52.6, aqp8a.1, kcnh6a, cx52.9
785	15 dpf	70	NA	retina (cone bipolar cells)	fezf2, neurod4, syt5a, camk1ga, ntng1a, cabp5a, stx3a, cplx4a, lhx4, grik1a, cln6b, esama, tnnt1, vamp1, vsx1, foxg1b
786	15 dpf	71	8d-88	OPC	cd82a, aplnra, aplnrb, olig2, csrp1b, ninj2, sema5a, olig1, elovl7a, sox10, ugt8, bcan, lim2.2, fabp2, cd226, ly75
787	15 dpf	72	8d-79	lymphocytes	ccl33.3, pfn1, arpc1b, cd74a, ccr9a, coro1a, cd74b, rac2, srgn, lcp1, capgb, cxcr4b, wasb, mpeg1.1
788	15 dpf	73	NA	granule cells (glutamatergic) neurons	zic2a, uts1, eomesa, lmo4a, tlx3b, eng1b, ziv5, cbln1, bves, nebl, eng2b, tmem178, cdk15, dlg1, lhx1a, slc17a6b
789	15 dpf	74	8d-60	progenitors (cycling)	kpna2, nusap1, tuba8l, aspm, cdk1, ube2c, plk1, ccna2, her2, cdc20, her12, dla, tpx2, top2a
790	15 dpf	75	8d-77	hypothalamus	synpr, sst3, tac1, sp8a, pyyb, rpml, dlx2b, dlx5a, dlx1a, cart2, chodl, qpct, dlx2a, slc32a1, gad2
791	15 dpf	76	8d-51	neurons (ganglion) 	prph, six1b, tagln3b, tlx2, sst6, tuba8l3, eya4, isl2a, isl2b, vim, anxa13l, slc18a3a, eya1, neflb, phox2bb
792	15 dpf	77	8d-89	lens epithelium	sparcl1, cryaba, cryabb, slc7a11, gclm, slc3a2a, enduoc, gclc, spon1b, hmx4, asph, cyp26a1, prss35, foxe3
793	15 dpf	78	8d-36	hindbrain neurons	phox2bb, phox2a, tlx2, lmx1bb, shox2, eya1, tlx3b, hoxb3a, hoxa3a, egr2b, cbln2b, cbln1, scrt1a, nrgna
794	15 dpf	79	8d-84	retina (starburst amacrine, gabaergic) neurons	slc18a3a, grm6b, gldn, rgs9bp, slc5a7a, tmem196b, plppr5a, hmx4, glbra, ism1, rgs11, chgb, foxg1b
795	15 dpf	80	8d-69	metaphocytes	scgn, agr2, epcam, cldnh, bik, f11r.1, spint2, cldn7b, prr15la, tprg1, hepacam2, pou2f3, cldnb, tagapa, tspan35
796	15 dpf	81	8d-64	rostral blood island (myeloid)	rgcc, igfbp1a, cxcl12b, krt18, srgn, clic2, krt94, klf2a, tnfrsf9a, slc16a1a, podxl, jam2a, epas1b, slco1d1, ackr3a
797	15 dpf	82	8d-58	eye (epidermis)	krt4, icn2, krt17, mid1ip1a, cldnb, anxa1c, epcam, agr1, krt1-19d, cfl1l, cldne, lye, anxa1b, cd9b, tmem176l.4
798	15 dpf	83	NA	eye (non retina)	fmoda, ucmaa, dcn, tnw, postnb, col1a1a, col1a2, tnmd, anxa2a, f13a1b, twist3, col1a1b, kera, col6a1
799	15 dpf	84	NA	telencephalon (gabaergic)	penkb, rtn4rl2a, rtn4rl2b, egr2b, prss12, add3b, dlx5a, pik3ip1, clstn2, slc32a1, six3b, ngb, six3a, dlx2a, gad2
800	15 dpf	85	NA	retina (cone bipolar cells)	uts1, syt5b, gnb3a, eml1, nrn1lb, snx8b, lhx4, trpm1b, dgkaa, irbpl, nexn.1, rgs11, cabp5a, rdh10a, cplx4a, foxg1b
801	15 dpf	86	8d-42	eye (epidermis)	cldni, krtt1c19e, lgals1l1, cfd, cfl1l, col1a1b, epcam, col1a2, itgb4, cyt1, gstm.3, postnb, itga6b
802	15 dpf	87	8d-80	pigment cell (iridophore)	defbl1, apoda.1, lypc, pnp4a, akap12a, gpnmb, ponzr1, urah, tpd52l1, myo5b, fhl2a, cmtm6, plscr3b, emp3b
803	15 dpf	88	8d-66	erythrocytes	ba1, slc4a1a, alas2, blvrb, nt5c2l1, HBZ, tmod4, epb41b, slc20a1a, ucp3, rhag, s100a10a, nmt1b
804	15 dpf	89	NA	blood/immune cell (possibly b cells)	ccl19a.1, grn1, grn2, cd74a, arpc1b, cd74b, lcp1, rac2, ccl35.1, coro1a, mhc2dab, capgb
805	15 dpf	90	NA	blood/immune cell	cd74a, cd74b, ctsl.1, grn1, lygl1, fcer1gl, ctss2.2, cscl19, mfap4, tspan36, ctss2.1, cxcr4b, grn2, c1qc
806	15 dpf	91	8d-81	oligodendrocytes	plp1b, mpz, cldnk, flj13639, cd9b, cldn19, elovl1b, tuba8l3, csrp1b, timd4, zwi, cx27.5, ninj2, elovl7a
807	15 dpf	92	8d-82	dorsal dienchephalon (thalamus)	havcr2, foxb1b, atr, ngfrb, ncs1b, mstnb, mfge8b, ano2, ppp1r1c, cyth3a, ncs1a, slc8a1a, ccl44, cdh4, synpr, cnn3a
808	15 dpf	93	NA	hypothalamus	sst1.1, pyyb, lhx6, sst1.2, nkx2.1, npy, vgf, fndc4a, gpx3, sez6a, slc6a1b, gad1b, sox6, sox1a, cygb2
809	15 dpf	94	NA	pigment cell	tyrp1b, pmela, dct, pmelb, tspan36, slc45a2, slc39a10, tyrp1a, oca2, pah, pttg1ipb, nqo1, gpr143, fam213ab, bace2
810	15 dpf	95	NA	perivascular- FGP cells	mrc1a, cpn1.2, gng10, ramp2, gpr182, clic2, myct1a, ehd4, angpt2a, ecscr, cldn11a, stab2, lyve1a, dab2
811	15 dpf	96	NA	retina neurons	kidins220a, tbx3a, anos1a, gbx2, prickle1b, kif26bb, crlf1b, prdm13, glra4b, slc6a9, kcnd1, kif5c, foxg1b
812	15 dpf	97	NA	neural crest derived	apodb, apoda.1, urah, elovl1a, gpnmb, cyp2k19, cyp4t8, snai1a, alx4a, tfec, myo5b, hdr, lim2.2, lcn15, cecr1b, exoc3l1, sox10
813	15 dpf	98	NA	neural crest derived	wu:fc46h12, bco2b, slc22a7a, urah, bscl2l, bco1, tmem130, hp.1, scarb1, mlpha, tmem243a, cyb561a3b, cax1
814	15 dpf	99	8d-62	hypothalamus neurons	tph2, ddc, gch1, fev, th, slc18a2, txn, gata3, gata2a, lmx1bb, htr1d, crhbp, prdx1, elavl4, sncb
815	15 dpf	100	8d-83	glia progenitors	fabp7b, pla1a, slc13a1, ldlrad2, enkur, oarx, daw1, tbata, pacrg, hepacama, spag6, ezra
